,Commodity,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,Paddy,1015,1095,1265,1327.5,1380,1430,1490,1570,1760,1825,1878
1,Jowar,890,990,1510,1510,1540,1580,1637.5,1712.5,2440,2560,2630
2,Bajra,880,980,1175,1250,1250,1275,1330,1425,1950,2000,2150
3,Maize,880,980,1175,1310,1310,1325,1365,1425,1700,1760,1850
4,Ragi,965,1050,1500,1500,1550,1650,1725,1900,2897,3150,3295
5,Arhar/Tur,3000,3200,3850,4300,4350,4625,5050,5450,5675,5800,6000
6,Moong(Green Gram),3170,3500,4400,4500,4600,4850,5225,5575,6975,7050,7196
7,Urad,2900,3300,4300,4300,4350,4625,5000,5400,5600,5700,6000
8,Cotton(lint),2750,3050,3750,3850,3900,3950,3960,4170,5300,5402,5670
9,Groundnut,2300,2700,3700,4000,4000,4030,4220,4450,4890,5090,5275
10,Sesamum,2900,3400,4200,4500,4600,4700,5000,5300,6249,6485,6855
11,Niger seed,2450,2900,3500,3500,3600,3650,3825,4050,5877,5940,6695
12,Wheat,1120,1285,1350,1400,1450,1525,1625,1735,1840,1925,1975
13,Barley,780,980,980,1100,1150,1225,1325,1410,1440,1525,1600
14,Gram,2100,2800,3000,3100,3175,3500,4000,4400,4620,4875,5100
15,Masoor,2250,2800,2900,2950,3075,3400,3950,4250,4475,4800,5100
16,Rapeseed &Mustard,1850,2500,3000,3050,3100,3350,3700,4000,4200,4425,4650
17,Safflower,1800,2500,2800,3000,3050,3300,3700,4100,4945,5215,5237
18,Coconut,1200,1200,1400,1425,1425,1500,1600,1760,2030,2571,2700
19,Jute,1575,1675,2200,2300,2400,2700,3200,3500,3700,3950,4225
20,Sugarcane,,,170,210,220,230,230,255,275,,
21,Dry chillies,,,7963,9534,10896,8248,9068,13857,12960,,
22,Onion,,,976,960,898,1003,1017,2149,2969,,
23,Potato,,,665,752,968,1256,1126,1784,1072,,
24,Sweet potato,,,1172,1262,1261,1363,1332,1713,1624,,
25,Sunflower,,,3326,3251,3460,3325,3837,3845,4037,,
26,Millets,,,1398,1264,1665,1723,1803,1887,1989,,
27,Peas and Beans,,,2201,2394,3005,3241,3685,3232,2997,,
28,Turmeric,,,5966,6187,6495,6782,6919,6142,7145,,
29,Linseed,,,4048,5331,4261,3891,4286,4727,5134,,
30,Castor seed,,,3179,3348,3945,4362,4816,3728,4229,,
31,Garlic,,,5876,6052,6245,6642,6886,7120,7932,,
32,Soyabean,1420,1670,2220,2530,2530,2600,2775,3050,3399,3710,3880
33,Tobacco,,,4326,6318,4546,3275,3285,4557,5184,,
34,Horse-gram,,,2672,2988,3041,3578,3311,3645,3896,,
35,Coriander,,,4755,4829,5144,5634,5788,6023,6325,,
36,Ginger,,,1836,1855,1965,2047,2243,2356,2484,,
37,Banana,,,2968,2710,2536,2441,2298,2052,1870,,
38,Cowpea(Lobia),,,3666,4162,3773,4197,4322,4454,5365,,
